              ip-1797  [001] dL.4.    26.580215: funcgraph_entry:        0.220 us   |                      record_times(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580215: funcgraph_exit:         0.710 us   |                    } (ret=0x0)
              ip-1797  [001] dL.4.    26.580215: funcgraph_exit:         1.830 us   |                  } (ret=0x0)
              ip-1797  [001] dL.4.    26.580216: funcgraph_exit:       + 12.230 us  |                } (ret=0x0)
              ip-1797  [001] dL.4.    26.580216: funcgraph_entry:                   |                wakeup_preempt() {
              ip-1797  [001] dL.4.    26.580216: funcgraph_entry:                   |                  wakeup_preempt_fair() {
              ip-1797  [001] dL.4.    26.580216: funcgraph_entry:                   |                    update_curr() {
              ip-1797  [001] dL.4.    26.580217: funcgraph_entry:        0.210 us   |                      update_se(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580217: funcgraph_exit:         0.670 us   |                    } (ret=0x0)
              ip-1797  [001] dL.4.    26.580217: funcgraph_entry:                   |                    update_curr() {
              ip-1797  [001] dL.4.    26.580218: funcgraph_entry:        0.210 us   |                      update_se(); (ret=0x18c90)
              ip-1797  [001] dL.4.    26.580218: funcgraph_exit:         0.680 us   |                    } (ret=0x0)
              ip-1797  [001] dL.4.    26.580218: funcgraph_entry:                   |                    update_curr() {
              ip-1797  [001] dL.4.    26.580218: funcgraph_entry:        0.210 us   |                      update_se(); (ret=0x18c90)
              ip-1797  [001] dL.4.    26.580219: funcgraph_exit:         0.670 us   |                    } (ret=0x0)
              ip-1797  [001] dL.6.    26.580220: funcgraph_entry:        0.260 us   |                      housekeeping_any_cpu(); (ret=0x1)
              ip-1797  [001] dL.7.    26.580220: funcgraph_entry:                   |                      arch_irq_work_raise() {
              ip-1797  [001] dL.7.    26.580220: funcgraph_entry:        2.520 us   |                        x2apic_send_IPI_self(); (ret=0x0)
              ip-1797  [001] dL.7.    26.580223: funcgraph_exit:         3.100 us   |                      } (ret=0x0)
              ip-1797  [001] dL.4.    26.580224: funcgraph_entry:                   |                    update_curr() {
              ip-1797  [001] dL.4.    26.580224: funcgraph_entry:        0.230 us   |                      update_se(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580224: funcgraph_exit:         0.720 us   |                    } (ret=0x0)
              ip-1797  [001] dL.4.    26.580225: funcgraph_entry:                   |                    pick_eevdf() {
              ip-1797  [001] dL.4.    26.580225: funcgraph_entry:        0.210 us   |                      vruntime_eligible(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580225: funcgraph_entry:        0.210 us   |                      vruntime_eligible(); (ret=0x1)
              ip-1797  [001] dL.4.    26.580226: funcgraph_exit:         1.150 us   |                    } (ret=0xffff8c6fd178abc0)
              ip-1797  [001] dL.4.    26.580226: funcgraph_entry:        0.220 us   |                    avg_vruntime(); (ret=0x278e7d0b9)
              ip-1797  [001] dL.4.    26.580226: funcgraph_exit:       + 10.200 us  |                  } (ret=0x0)
              ip-1797  [001] dL.4.    26.580227: funcgraph_exit:       + 10.670 us  |                } (ret=0x0)
              ip-1797  [001] dL.4.    26.580234: funcgraph_exit:       + 31.170 us  |              } (ret=0x0)
              ip-1797  [001] dL.4.    26.580235: funcgraph_entry:        0.260 us   |              _raw_spin_unlock(); (ret=0x0)
              ip-1797  [001] dL.3.    26.580235: funcgraph_entry:        0.230 us   |              _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1797  [001] dL.1.    26.580236: funcgraph_exit:       + 37.890 us  |            } (ret=0x1)
              ip-1797  [001] dL.1.    26.580236: funcgraph_exit:       + 38.350 us  |          } (ret=0x1)
              ip-1797  [001] dL.1.    26.580236: funcgraph_entry:        0.220 us   |          __rcu_read_unlock(); (ret=0x0)
              ip-1797  [001] dL.1.    26.580237: funcgraph_exit:       + 42.560 us  |        } (ret=0x0)
              ip-1797  [001] dL.1.    26.580238: funcgraph_entry:        0.260 us   |        irq_enter_rcu(); (ret=0x0)
              ip-1797  [001] dLh1.    26.580239: funcgraph_entry:                   |        __sysvec_irq_work() {
              ip-1797  [001] dLh1.    26.580239: funcgraph_entry:                   |          __wake_up() {
              ip-1797  [001] dLh1.    26.580240: funcgraph_entry:        0.210 us   |            _raw_spin_lock_irqsave(); (ret=0x86)
              ip-1797  [001] dLh2.    26.580240: funcgraph_entry:        0.220 us   |            __wake_up_common(); (ret=0x0)
              ip-1797  [001] dLh2.    26.580241: funcgraph_entry:        0.220 us   |            _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1797  [001] dLh1.    26.580241: funcgraph_exit:         1.610 us   |          } (ret=0x0)
              ip-1797  [001] dLh1.    26.580241: funcgraph_entry:        0.220 us   |          _raw_spin_lock(); (ret=0x0)
              ip-1797  [001] dLh2.    26.580242: funcgraph_entry:        0.220 us   |          _raw_spin_unlock(); (ret=0x0)
              ip-1797  [001] dLh1.    26.580242: funcgraph_entry:                   |          __wake_up() {
              ip-1797  [001] dLh1.    26.580242: funcgraph_entry:        0.210 us   |            _raw_spin_lock_irqsave(); (ret=0x86)
              ip-1797  [001] dLh2.    26.580243: funcgraph_entry:                   |            __wake_up_common() {
              ip-1797  [001] dLh2.    26.580243: funcgraph_entry:                   |              pollwake() {
              ip-1797  [001] dLh2.    26.580244: funcgraph_entry:                   |                default_wake_function() {
              ip-1797  [001] dLh2.    26.580244: funcgraph_entry:                   |                  try_to_wake_up() {
              ip-1797  [001] dLh3.    26.580244: funcgraph_entry:        0.310 us   |                    _raw_spin_lock_irqsave(); (ret=0x96)
              ip-1797  [001] dLh4.    26.580245: funcgraph_entry:                   |                    select_task_rq_fair() {
              ip-1797  [001] dLh4.    26.580245: funcgraph_entry:        0.220 us   |                      choose_idle_cpu(); (ret=0x0)
              ip-1797  [001] dLh4.    26.580246: funcgraph_entry:        0.220 us   |                      cpus_share_cache(); (ret=0xffff8c70a11f0000)
              ip-1797  [001] dLh4.    26.580246: funcgraph_exit:         1.230 us   |                    } (ret=0x0)
              ip-1797  [001] dLh4.    26.580246: funcgraph_entry:                   |                    ttwu_queue_wakelist() {
