    kworker/u8:1-84    [000] ...1.    20.129314: funcgraph_entry:        0.490 us   |              mutex_lock(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129315: funcgraph_entry:        1.470 us   |              find_gid(); (ret=0xffffffff)
    kworker/u8:1-84    [000] ...1.    20.129317: funcgraph_entry:        0.270 us   |              mutex_unlock(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129317: funcgraph_entry:                   |              _printk() {
    kworker/u8:1-84    [000] ...1.    20.129318: funcgraph_entry:                   |                vprintk() {
    kworker/u8:1-84    [000] ...1.    20.129318: funcgraph_entry:                   |                  vprintk_default() {
    kworker/u8:1-84    [000] ...1.    20.129319: funcgraph_entry:                   |                    vprintk_emit() {
    kworker/u8:1-84    [000] ...1.    20.129319: funcgraph_entry:        0.280 us   |                      panic_on_other_cpu(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129319: funcgraph_entry:                   |                      nbcon_get_default_prio() {
    kworker/u8:1-84    [000] ...1.    20.129320: funcgraph_entry:        0.260 us   |                        panic_on_this_cpu(); (ret=0xffffff00)
    kworker/u8:1-84    [000] ...1.    20.129320: funcgraph_entry:                   |                        nbcon_get_cpu_emergency_nesting() {
    kworker/u8:1-84    [000] ...1.    20.129321: funcgraph_entry:        0.260 us   |                          printk_percpu_data_ready(); (ret=0x1)
    kworker/u8:1-84    [000] ...1.    20.129321: funcgraph_exit:         0.880 us   |                        } (ret=0xffff88fffbc1d484)
    kworker/u8:1-84    [000] ...1.    20.129322: funcgraph_exit:         2.440 us   |                      } (ret=0x1)
    kworker/u8:1-84    [000] ...1.    20.129322: funcgraph_entry:                   |                      is_printk_legacy_deferred() {
    kworker/u8:1-84    [000] ...1.    20.129323: funcgraph_entry:        0.350 us   |                        is_printk_cpu_sync_owner(); (ret=0xffffff00)
    kworker/u8:1-84    [000] ...1.    20.129323: funcgraph_exit:         0.940 us   |                      } (ret=0xffffff00)
    kworker/u8:1-84    [000] ...1.    20.129324: funcgraph_entry:        0.370 us   |                      is_printk_force_console(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129324: funcgraph_entry:                   |                      vprintk_store() {
    kworker/u8:1-84    [000] d..1.    20.129325: funcgraph_entry:        0.330 us   |                        local_clock(); (ret=0x4abaa3dd5)
    kworker/u8:1-84    [000] d..1.    20.129327: funcgraph_entry:        0.320 us   |                        printk_parse_prefix(); (ret=0x2)
    kworker/u8:1-84    [000] d..1.    20.129328: funcgraph_entry:        0.280 us   |                        is_printk_force_console(); (ret=0x0)
    kworker/u8:1-84    [000] d..1.    20.129329: funcgraph_entry:                   |                        prb_reserve() {
    kworker/u8:1-84    [000] d..1.    20.129329: funcgraph_entry:                   |                          data_alloc() {
    kworker/u8:1-84    [000] d..1.    20.129330: funcgraph_entry:        0.270 us   |                            data_push_tail(); (ret=0x1)
    kworker/u8:1-84    [000] d..1.    20.129330: funcgraph_exit:         1.090 us   |                          } (ret=0xffffffffa24c7318)
    kworker/u8:1-84    [000] d..1.    20.129331: funcgraph_entry:        0.290 us   |                          space_used(); (ret=0x68)
    kworker/u8:1-84    [000] d..1.    20.129331: funcgraph_exit:         2.410 us   |                        } (ret=0xffffc401)
    kworker/u8:1-84    [000] d..1.    20.129331: funcgraph_entry:                   |                        printk_sprint() {
